"Deck, Trial",color,number,C,DI-1,DR-1,DI-2,DR-2,DI-3,DR-3,EI-1,ER-1,EC-1
"white, 58",white,58,0,0,0,0,0,0,0,0,0,0.3333333333333333
"black, 58",black,58,0,0,0,1,1,0,0,1,1,0.3333333333333333
"red, 59",red,59,0,1,0,1,0,0,0,0,0,0.0
"white, 59",white,59,0,0,0,0,0,0,0,0,0,0.0
"black, 59",black,59,1,0,0,0,0,1,1,0,0,0.0
"red, 60",red,60,0,0,0,1,0,1,0,0,0,0.0
"white, 60",white,60,0,0,0,0,0,0,0,0,0,0.0
"black, 60",black,60,1,1,0,0,0,0,0,0,0,0.0
"red, 61",red,61,0,0,0,0,0,1,0,0,0,0.06666666666666667
"white, 61",white,61,1,0,0,0,0,0,0,0,0,0.3333333333333333
"black, 61",black,61,0,1,0,1,0,0,0,1,1,0.3333333333333333
"red, 62",red,62,0,0,0,0,0,0,0,0,0,0.0
"white, 62",white,62,1,1,0,0,0,0,0,0,0,0.0
"black, 62",black,62,0,0,0,1,0,1,0,0,0,0.0
"red, 63",red,63,1,0,0,0,0,0,0,0,0,0.0
"white, 63",white,63,0,1,1,1,0,0,0,0,0,0.0
"black, 63",black,63,0,0,0,0,0,1,0,0,0,0.0
"red, 64",red,64,1,1,0,0,0,0,0,0,0,0.0
"white, 64",white,64,0,0,0,1,1,1,0,0,0,0.0
"black, 64",black,64,0,0,0,0,0,0,0,0,0,0.0
"red, 65",red,65,1,1,0,1,0,0,0,0,0,-0.3333333333333333
"white, 65",white,65,0,0,0,0,0,1,1,1,1,-0.5384615384615384
"black, 65",black,65,0,0,0,0,0,0,0,0,0,0.6666666666666666
"red, 66",red,66,1,1,0,1,0,1,0,0,0,0.0
"white, 66",white,66,0,0,0,0,0,0,0,0,0,-1.0
"black, 66",black,66,0,0,0,0,0,0,0,1,0,-0.6
"red, 67",red,67,0,1,0,1,0,1,0,0,0,0.0
"white, 67",white,67,1,0,0,0,0,0,0,0,0,0.0
"black, 67",black,67,0,0,0,0,0,0,0,0,0,0.0
"red, 68",red,68,0,0,0,1,0,1,0,0,0,0.0
"white, 68",white,68,1,1,0,0,0,0,0,0,0,0.0
"black, 68",black,68,0,0,0,0,0,0,0,0,0,0.0
"red, 69",red,69,0,0,0,0,0,1,0,0,0,0.0
"white, 69",white,69,0,1,0,1,0,0,0,0,0,0.0
"black, 69",black,69,1,0,0,0,0,0,0,0,0,0.0
"red, 70",red,70,0,0,0,0,0,0,0,0,0,0.0
"white, 70",white,70,1,0,0,1,0,1,0,0,0,0.0
"black, 70",black,70,0,1,0,0,0,0,0,0,0,0.0
"red, 71",red,71,0,0,0,0,0,0,0,0,0,0.0
"white, 71",white,71,1,1,1,0,0,1,0,0,0,0.0
"black, 71",black,71,0,0,0,1,0,0,0,0,0,0.0
"red, 72",red,72,0,0,0,0,0,0,0,0,0,-0.5
"white, 72",white,72,1,1,0,1,1,0,0,0,0,0.0
"black, 72",black,72,0,0,0,0,0,1,0,1,1,0.5
"red, 73",red,73,0,0,0,0,0,0,0,0,0,-0.5
"white, 73",white,73,1,1,0,1,0,1,1,0,0,0.0
"black, 73",black,73,0,0,0,0,0,0,0,1,1,0.5
"red, 74",red,74,0,0,0,0,0,0,0,0,0,0.0
"white, 74",white,74,0,1,0,1,0,1,0,0,0,0.0
"black, 74",black,74,1,0,0,0,0,0,0,0,0,0.0
"red, 75",red,75,1,0,0,0,0,0,0,0,0,0.0
"white, 75",white,75,0,0,0,1,0,1,0,0,0,0.0
"black, 75",black,75,0,1,0,0,0,0,0,0,0,0.0
"red, 76",red,76,1,1,0,0,0,0,0,0,0,0.0
"white, 76",white,76,0,0,0,0,0,1,0,0,0,0.0
"black, 76",black,76,0,0,0,1,0,0,0,0,0,0.0
"red, 77",red,77,0,1,0,1,0,0,0,0,0,0.0
"white, 77",white,77,1,0,0,0,0,0,0,0,0,0.0
"black, 77",black,77,0,0,0,0,0,1,0,0,0,0.0
"red, 78",red,78,0,0,0,1,0,1,0,0,0,-0.5
"white, 78",white,78,1,1,0,0,0,0,0,0,0,0.0
"black, 78",black,78,0,0,0,0,0,0,0,1,1,0.5
"red, 79",red,79,0,0,0,0,0,1,0,0,0,0.0
